date	author	section	price	sold
1740-10-16	Molière (Jean-Baptiste Poquelin dit)	parterre	1	229
1740-10-17	Regnard (Jean-François)	parterre	1	112
1740-10-17	Poisson (Philippe)	parterre	1	112
1740-10-18	Regnard (Jean-François)	parterre	1	65
1740-10-18	Lesage (Alain-René)	parterre	1	65
1740-10-19	Campistron (Jean Galbert de)	parterre	1	162
1740-10-19	Poisson (Philippe)	parterre	1	162
1740-10-22	Anonyme	parterre	1	415
1740-10-22	Du Fresny (Charles)	parterre	1	415
1740-10-23	Montfleury (Antoine Jacob dit)	parterre	1	217
1740-10-23	Molière (Jean-Baptiste Poquelin dit)	parterre	1	217
1740-10-24	Anonyme	parterre	1	171
1740-10-24	Legrand (Marc-Antoine)	parterre	1	171
1740-10-26	Regnard (Jean-François)	parterre	1	153
1740-10-26	Molière (Jean-Baptiste Poquelin dit)	parterre	1	153
1740-10-27	Dancourt (Florent Carton dit)	parterre	1	99
1740-10-27	La Fontaine (Jean de)	parterre	1	99
1740-10-28	Campistron (Jean Galbert de)	parterre	1	205
1740-10-28	Regnard (Jean-François)	parterre	1	205
1740-10-29	Dancourt (Florent Carton dit)	parterre	1	180
1740-10-29	Regnard (Jean-François)	parterre	1	180
1740-10-30	Corneille (Pierre)	parterre	1	160
1740-10-30	Molière (Jean-Baptiste Poquelin dit)	parterre	1	160
1740-10-31	Dancourt (Florent Carton dit)	parterre	1	108
1740-10-31	Legrand (Marc-Antoine)	parterre	1	108
1740-11-02	Regnard (Jean-François)	parterre	1	252
1740-11-02	Regnard (Jean-François)	parterre	1	152
1740-11-02	La Fontaine (Jean de)	parterre	1	252
1740-11-02	La Fontaine (Jean de)	parterre	1	152
1740-11-02	La Fontaine (Jean de)	parterre	1	252
1740-11-02	La Fontaine (Jean de)	parterre	1	152
1740-11-03	Montfleury (Antoine Jacob dit)	parterre	1	228
1740-11-03	Legrand (Marc-Antoine)	parterre	1	228
1740-11-05	Dancourt (Florent Carton dit)	parterre	1	279
1740-11-05	Fagan (Barthélemy-Christophe)	parterre	1	279
1740-11-06	Regnard (Jean-François)	parterre	1	342
1740-11-06	Fagan (Barthélemy-Christophe)	parterre	1	342
1740-11-07	Regnard (Jean-François)	parterre	1	136
1740-11-07	Fagan (Barthélemy-Christophe)	parterre	1	136
1740-11-09	Regnard (Jean-François)	parterre	1	174
1740-11-09	Fagan (Barthélemy-Christophe)	parterre	1	174
1740-11-10	Dancourt (Florent Carton dit)	parterre	1	105
1740-11-10	Fagan (Barthélemy-Christophe)	parterre	1	105
1740-11-11	Corneille (Pierre)	parterre	1	223
1740-11-11	Fagan (Barthélemy-Christophe)	parterre	1	223
1740-11-12	Dancourt (Florent Carton dit)	parterre	1	174
1740-11-12	Fagan (Barthélemy-Christophe)	parterre	1	174
1740-11-13	Campistron (Jean Galbert de)	parterre	1	210
1740-11-13	Fagan (Barthélemy-Christophe)	parterre	1	210
1740-11-14	Lesage (Alain-René)	parterre	1	156
1740-11-14	Fagan (Barthélemy-Christophe)	parterre	1	156
1740-11-16	Longepierre (Hilaire-Bernard de)	parterre	1	383
1740-11-16	Fagan (Barthélemy-Christophe)	parterre	1	383
1740-11-17	Corneille (Pierre)	parterre	1	104
1740-11-17	Fagan (Barthélemy-Christophe)	parterre	1	104
1740-11-18	Molière (Jean-Baptiste Poquelin dit)	parterre	1	65
1740-11-18	Poisson (Raymond)	parterre	1	65
1740-11-19	Crébillon (Prosper Jolyot de)	parterre	1	431
1740-11-19	Fagan (Barthélemy-Christophe)	parterre	1	431
1740-11-20	Molière (Jean-Baptiste Poquelin dit)	parterre	1	253
1740-11-20	Dancourt (Florent Carton dit)	parterre	1	253
1740-11-21	Crébillon (Prosper Jolyot de)	parterre	1	268
1740-11-21	Fagan (Barthélemy-Christophe)	parterre	1	268
1740-11-23	Crébillon (Prosper Jolyot de)	parterre	1	287
1740-11-23	Dancourt (Florent Carton dit)	parterre	1	287
1740-11-24	Regnard (Jean-François)	parterre	1	68
1740-11-24	Regnard (Jean-François)	parterre	1	68
1740-11-25	Molière (Jean-Baptiste Poquelin dit)	parterre	1	69
1740-11-25	Molière (Jean-Baptiste Poquelin dit)	parterre	1	69
1740-11-26	Crébillon (Prosper Jolyot de)	parterre	1	316
1740-11-26	Fagan (Barthélemy-Christophe)	parterre	1	316
1740-11-27	Molière (Jean-Baptiste Poquelin dit)	parterre	1	393
1740-11-27	Palaprat (Jean de)	parterre	1	393
1740-11-28	Racine (Jean)	parterre	1	236
1740-11-28	Fagan (Barthélemy-Christophe)	parterre	1	236
1740-11-29	Molière (Jean-Baptiste Poquelin dit)	parterre	1	38
1740-11-29	Legrand (Marc-Antoine)	parterre	1	38
1740-11-30	La Grange-Chancel (François-Joseph de)	parterre	1	512
1740-11-30	Dancourt (Florent Carton dit)	parterre	1	512
1740-12-03	La Grange-Chancel (François-Joseph de)	parterre	1	389
1740-12-03	Fagan (Barthélemy-Christophe)	parterre	1	389
1740-12-04	Molière (Jean-Baptiste Poquelin dit)	parterre	1	357
1740-12-05	La Grange-Chancel (François-Joseph de)	parterre	1	176
1740-12-05	Fagan (Barthélemy-Christophe)	parterre	1	176
1740-12-07	La Motte (Antoine Houdar de)	parterre	1	371
1740-12-07	Dancourt (Florent Carton dit)	parterre	1	371
1740-12-09	Regnard (Jean-François)	parterre	1	66
1740-12-09	Molière (Jean-Baptiste Poquelin dit)	parterre	1	66
1740-12-10	La Motte (Antoine Houdar de)	parterre	1	346
1740-12-10	Legrand (Marc-Antoine)	parterre	1	346
1740-12-11	Boissy (Louis de)	parterre	1	506
1740-12-11	Saint-Foix (Germain-François Poullain de)	parterre	1	506
1740-12-12	Corneille (Thomas)	parterre	1	189
1740-12-12	Brueys (David-Augustin de)	parterre	1	189
1740-12-13	Corneille (Pierre)	parterre	1	54
1740-12-13	Hauteroche (Noël Lebreton, sieur de)	parterre	1	54
1740-12-14	Boissy (Louis de)	parterre	1	465
1740-12-14	Saint-Foix (Germain-François Poullain de)	parterre	1	465
1740-12-15	Regnard (Jean-François)	parterre	1	60
1740-12-15	La Fontaine (Jean de)	parterre	1	60
1740-12-16	Molière (Jean-Baptiste Poquelin dit)	parterre	1	63
1740-12-16	Racine (Jean)	parterre	1	63
1740-12-17	Boissy (Louis de)	parterre	1	410
1740-12-17	Saint-Foix (Germain-François Poullain de)	parterre	1	410
1740-12-18	Racine (Jean)	parterre	1	369
1740-12-18	Hauteroche (Noël Lebreton, sieur de)	parterre	1	369
1740-12-19	Boissy (Louis de)	parterre	1	171
1740-12-19	Saint-Foix (Germain-François Poullain de)	parterre	1	171
1740-12-20	Regnard (Jean-François)	parterre	1	77
1740-12-20	La Fontaine (Jean de)	parterre	1	77
1740-12-21	Molière (Jean-Baptiste Poquelin dit)	parterre	1	246
1740-12-21	Molière (Jean-Baptiste Poquelin dit)	parterre	1	246
1740-12-23	Corneille (Pierre)	parterre	1	99
1740-12-23	Boissy (Louis de)	parterre	1	99
1740-12-26	Corneille (Thomas)	parterre	1	348
1740-12-26	Boissy (Louis de)	parterre	1	348
1740-12-27	Legrand (Marc-Antoine)	parterre	1	419
1740-12-28	Longepierre (Hilaire-Bernard de)	parterre	1	305
1740-12-28	Hauteroche (Noël Lebreton, sieur de)	parterre	1	305
1740-12-30	Legrand (Marc-Antoine)	parterre	1	195
1740-12-31	Corneille (Thomas)	parterre	1	249
1740-12-31	Saint-Foix (Germain-François Poullain de)	parterre	1	249
1741-01-01	Legrand (Marc-Antoine)	parterre	1	425
1741-01-02	Voltaire (François-Marie Arouet dit)	parterre	1	434
1741-01-02	Du Fresny (Charles)	parterre	1	434
1741-01-03	Legrand (Marc-Antoine)	parterre	1	353
1741-01-04	Voltaire (François-Marie Arouet dit)	parterre	1	369
1741-01-04	Legrand (Marc-Antoine)	parterre	1	369
1741-01-05	Regnard (Jean-François)	parterre	1	103
1741-01-05	Brueys (David-Augustin de)	parterre	1	103
1741-01-06	Legrand (Marc-Antoine)	parterre	1	219
1741-01-07	Voltaire (François-Marie Arouet dit)	parterre	1	354
1741-01-07	Dancourt (Florent Carton dit)	parterre	1	354
1741-01-08	Legrand (Marc-Antoine)	parterre	1	185
1741-01-09	Voltaire (François-Marie Arouet dit)	parterre	1	199
1741-01-09	Lesage (Alain-René)	parterre	1	199
1741-01-11	Racine (Jean)	parterre	1	391
1741-01-11	Saint-Foix (Germain-François Poullain de)	parterre	1	391
1741-01-12	Molière (Jean-Baptiste Poquelin dit) / arrangée et versifiée par Corneille (Thomas)	parterre	1	122
1741-01-12	Brueys (David-Augustin de)	parterre	1	122
1741-01-13	Molière (Jean-Baptiste Poquelin dit)	parterre	1	80
1741-01-13	Montfleury (Antoine Jacob dit)	parterre	1	80
1741-01-14	Voltaire (François-Marie Arouet dit)	parterre	1	397
1741-01-14	Molière (Jean-Baptiste Poquelin dit)	parterre	1	397
1741-01-15	Legrand (Marc-Antoine)	parterre	1	244
1741-01-16	La Chaussée (Pierre-Claude)	parterre	1	320
1741-01-16	Saint-Foix (Germain-François Poullain de)	parterre	1	320
1741-01-18	Voltaire (François-Marie Arouet dit)	parterre	1	495
1741-01-18	Molière (Jean-Baptiste Poquelin dit)	parterre	1	495
1741-01-20	Molière (Jean-Baptiste Poquelin dit)	parterre	1	158
1741-01-20	Molière (Jean-Baptiste Poquelin dit)	parterre	1	158
1741-01-21	Voltaire (François-Marie Arouet dit)	parterre	1	493
1741-01-21	Legrand (Marc-Antoine)	parterre	1	493
1741-01-22	Molière (Jean-Baptiste Poquelin dit)	parterre	1	334
1741-01-23	Corneille (Thomas)	parterre	1	203
1741-01-23	Legrand (Marc-Antoine)	parterre	1	203
1741-01-25	Voltaire (François-Marie Arouet dit)	parterre	1	356
1741-01-25	Boissy (Louis de)	parterre	1	356
1741-01-27	Quinault (Philippe)	parterre	1	108
1741-01-27	Du Fresny (Charles)	parterre	1	108
1741-01-28	Voltaire (François-Marie Arouet dit)	parterre	1	438
1741-01-28	Molière (Jean-Baptiste Poquelin dit)	parterre	1	438
1741-01-29	Scarron (Paul)	parterre	1	437
1741-01-29	Dancourt (Florent Carton dit)	parterre	1	437
1741-01-30	Racine (Jean)	parterre	1	321
1741-01-30	Saint-Foix (Germain-François Poullain de)	parterre	1	321
1741-01-31	Destouches	parterre	1	61
1741-01-31	Dancourt (Florent Carton dit)	parterre	1	61
1741-02-01	Corneille (Pierre)	parterre	1	312
1741-02-01	Montfleury (Antoine Jacob dit)	parterre	1	312
