author	title	genre	acts	prose_vers	prologue	musique_danse_machine	date_de_creation
Corneille (Pierre)	Sophonisbe	tragédie	5	vers	f	f	
Corneille (Pierre)	Suréna, général des Parthes	tragédie	5	vers	f	f	
Corneille (Pierre)	Toison d'or (La)	tragédie	5	vers	t	t	
Corneille (Pierre)	Œdipe	tragédie	5	vers	f	f	
Corneille (Thomas)	Ariane	tragédie	5	vers	f	f	
Corneille (Thomas)	Baron d'Albikrac (Le)	comédie	5	vers	f	f	
Corneille (Thomas)	Baron des Fondrières (Le)	comédie	5	vers	f	f	
Corneille (Thomas)	Bradamante	tragédie	5	vers	f	f	1695-11-18
Corneille (Thomas)	Camma, reine de Galatie	tragédie	5	vers	f	f	
Corneille (Thomas)	Comte d'Essex (Le)	tragédie	5	vers	f	f	
Corneille (Thomas)	Comtesse d'Orgueil (La)	comédie	5	vers	f	f	
Corneille (Thomas)	Comtesse d'Orgueil (La) ou Le Marquis de Lorgnac	comédie	5	vers	f	f	
Corneille (Thomas)	Don Bertrand de Cigarral	comédie	5	vers	f	t	
Corneille (Thomas)	Don César d'Avalos	comédie	5	vers	f	f	1674-12-21
Corneille (Thomas)	Geôlier de soi-même ou Jodelet prince (Le)	comédie	5	vers	f	f	
Corneille (Thomas)	Inconnu (L')	comédie	5	vers	t	t	
Corneille (Thomas)	L'inconnu	comédie	5	vers	t	f	
Corneille (Thomas)	Stilicon	tragédie	5	vers	f	f	
