date	author	title	ordering	register_num	receipts	representation	signatory	ouverture	cloture	free_access	firstrun	firstrun_perfnum	reprise	reprise_perfnum	newactor	actorrole	debut	ex_attendance	ex_representation	ex_place	image_volume	image_page
1773-06-29	Regnard (Jean-François)	Joueur (Le)	1	64		24	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	135
1773-06-29	Poisson (Philippe)	Impromptu de campagne (L')	2	64		24	Dauberval & Dalainval	f	f	f	f		f		""	""		""	""	""	138	135
1773-06-30	Marivaux (Pierre de)	Seconde surprise de l'amour (La) / La Surprise de l'amour (titre alt.)	1	65		25	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	137
1773-06-30	Collé (Charles)	Dupuis et Desronais - Dupuis et des Renais - Dupuis et des Ronais	2	65		25	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	137
1773-07-01	La Harpe (Jean François de)	Comte de Warwick (Le)	1	66		1	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	139
1773-07-01	Poinsinet (Antoine-Alexandre-Henri)	Cercle ou la Soirée à la mode (Le)	2	66		1	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	139
1773-07-02	Dancourt (Florent Carton dit)	Bourgeoises à la mode (Les)	1	67		2	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	142
1773-07-02	Legrand (Marc-Antoine)	Usurier gentilhomme (L')	2	67		2	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	142
1773-07-03	Piron (Alexis)	Gustave Wasa	1	68		3	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	143
1773-07-03	Falconnet (Françoise-Cécile)	Amour à Tempé (L')	2	68		3	Dauberval & Dalainval	f	f	t	t	1	f		""	""		""	""	""	138	143
1773-07-04	La Chaussée (Pierre-Claude)	Gouvernante (La)	1	69		4	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	145
1773-07-04	La Fontaine (Jean de) ; Champmeslé (Charles Chevillet, sieur de Champmeslé, dit)	Coupe enchantée (La)	2	69		4	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	145
1773-07-05	Crébillon (Prosper Jolyot de)	Rhadamiste et Zénobie	1	70		5	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	147
1773-07-05	Fagan (Barthélemy-Christophe)	Rendez-vous ou l'Amour supposé (Le)	2	70		5	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	147
1773-07-07	Corneille (Pierre)	Rodogune ou Rodogune, princesse des Parthes	1	71		6	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	149
1773-07-07	Chamfort (Sébastien-Roch-Nicolas de)	Jeune indienne (La)	2	71		6	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	149
